feature,importance
rate_of_interest,5.7534413
credit_type,0.76486754
property_value,0.53180367
loan_amount,0.51266253
dtir1,0.38161266
business_or_commercial,0.26226822
Neg_ammortization,0.25339243
income,0.2500294
co-applicant_credit_type,0.19555007
loan_type,0.17961356
submission_of_application,0.17064926
loan_purpose,0.1656159
Region,0.14318135
Gender,0.1384258
term,0.13057224
lump_sum_payment,0.12871358
age,0.09147241
occupancy_type,0.08199643
approv_in_adv,0.072346255
Credit_Score,0.067347094
interest_only,0.030544223
loan_limit,0.029783258
total_units,0.0148585895
Credit_Worthiness,0.012914101
open_credit,0.0032600008
construction_type,0.0013568315
Security_Type,0.00019962556
Secured_by,0.0
